date,temp_c,pressure,light_lux,rain_rate,humidity,wind_speed,cloud_info,month,dayofweek,temp_c_lag1,pressure_lag1,light_lux_lag1,rain_rate_lag1,humidity_lag1,wind_speed_lag1,target_cloud,target_y
2024-01-04,27.13830882352941,1001.8812213235294,7796.808823529412,0.6879860294117647,49.2475,0.04786764705882353,bright,1,3,25.384526315789476,1010.4972389473684,8104.968421052631,0.0,60.47484210526316,0.0,dim,2
2024-01-05,29.333626943005182,993.7999295336787,13249.948186528498,0.8040559585492227,47.14544041450777,0.09305699481865286,dim,1,4,27.13830882352941,1001.8812213235294,7796.808823529412,0.6879860294117647,49.2475,0.04786764705882353,dim,2
2024-01-06,26.443684210526317,996.298657894737,12428.142857142857,0.0,55.53375939849624,0.002631578947368421,dim,1,5,29.333626943005182,993.7999295336787,13249.948186528498,0.8040559585492227,47.14544041450777,0.09305699481865286,dim,2
2024-01-07,27.235629629629628,998.8200940740741,13279.992592592593,0.0,56.53985185185185,0.0017777777777777776,dim,1,6,26.443684210526317,996.298657894737,12428.142857142857,0.0,55.53375939849624,0.002631578947368421,bright,0
2024-01-08,26.250851063829785,1001.9369319148935,6690.54255319149,0.0,49.797765957446806,0.0,bright,1,0,27.235629629629628,998.8200940740741,13279.992592592593,0.0,56.53985185185185,0.0017777777777777776,dim,2
2024-01-09,27.707894736842107,1000.9060063157896,13939.884210526316,0.0,54.21063157894737,0.0,dim,1,1,26.250851063829785,1001.9369319148935,6690.54255319149,0.0,49.797765957446806,0.0,bright,0
2024-01-10,28.13175925925926,1003.3578175925926,11072.722222222223,0.0,55.51027777777777,0.058055555555555555,bright,1,2,27.707894736842107,1000.9060063157896,13939.884210526316,0.0,54.21063157894737,0.0,dim,2
2024-01-11,29.738272251308903,1000.4485335078534,12231.157068062827,0.0,61.12183246073299,0.0007853403141361256,dim,1,3,28.13175925925926,1003.3578175925926,11072.722222222223,0.0,55.51027777777777,0.058055555555555555,dim,2
2024-01-12,26.56151832460733,992.6177392670156,12086.146596858638,0.0,68.14633507853404,0.0014136125654450264,dim,1,4,29.738272251308903,1000.4485335078534,12231.157068062827,0.0,61.12183246073299,0.0007853403141361256,bright,0
2024-02-03,26.376105263157896,1009.7984978947369,5133.105263157895,0.0,58.44242105263157,0.0,bright,2,5,26.56151832460733,992.6177392670156,12086.146596858638,0.0,68.14633507853404,0.0014136125654450264,dim,2
2024-02-04,30.28232558139535,998.173144767442,9785.081395348838,0.9287616279069767,47.35976744186046,0.1027906976744186,dim,2,6,26.376105263157896,1009.7984978947369,5133.105263157895,0.0,58.44242105263157,0.0,bright,0
2024-02-05,28.819178082191783,996.2149212328767,10166.780821917808,0.4532938356164383,50.904931506849316,0.0626027397260274,bright,2,0,30.28232558139535,998.173144767442,9785.081395348838,0.9287616279069767,47.35976744186046,0.1027906976744186,dim,2
2024-02-06,29.47305263157895,1002.0065831578947,14450.294736842105,0.0,63.94305263157895,0.0,dim,2,1,28.819178082191783,996.2149212328767,10166.780821917808,0.4532938356164383,50.904931506849316,0.0626027397260274,bright,0
2024-02-07,27.268666666666668,999.9789152380952,11674.161904761904,0.0,51.37609523809524,0.0,bright,2,2,29.47305263157895,1002.0065831578947,14450.294736842105,0.0,63.94305263157895,0.0,bright,0
2024-02-08,26.551684210526314,1002.283932631579,6206.8105263157895,0.0,49.062000000000005,0.0,bright,2,3,27.268666666666668,999.9789152380952,11674.161904761904,0.0,51.37609523809524,0.0,bright,0
2024-02-09,26.560315789473684,1001.3472263157895,10401.905263157894,0.0,56.16978947368421,0.0,bright,2,4,26.551684210526314,1002.283932631579,6206.8105263157895,0.0,49.062000000000005,0.0,dim,2
2024-02-10,27.971052631578946,1004.3659715789474,11074.82105263158,0.0,54.10547368421053,0.0,dim,2,5,26.560315789473684,1001.3472263157895,10401.905263157894,0.0,56.16978947368421,0.0,dim,2
2024-02-11,29.84198952879581,1000.795439790576,11994.842931937173,0.0,60.34429319371728,0.0007853403141361256,dim,2,6,27.971052631578946,1004.3659715789474,11074.82105263158,0.0,54.10547368421053,0.0,bright,0
2024-02-12,25.886979166666666,994.428834375,9146.21875,0.0,66.13302083333333,0.0013020833333333333,bright,2,0,29.84198952879581,1000.795439790576,11994.842931937173,0.0,60.34429319371728,0.0007853403141361256,dim,2
2024-02-13,24.375217391304346,1012.9674739130435,8876.391304347826,2.08365652173913,65.16347826086957,0.0,dim,2,1,25.886979166666666,994.428834375,9146.21875,0.0,66.13302083333333,0.0013020833333333333,bright,0
2024-02-14,24.80030303030303,1011.9060333333333,7303.141414141414,0.0,62.63545454545454,0.0,bright,2,2,24.375217391304346,1012.9674739130435,8876.391304347826,2.08365652173913,65.16347826086957,0.0,bright,0
2024-02-15,24.666842105263157,1011.9641168421053,4508.831578947368,0.0,58.160947368421056,0.0,bright,2,3,24.80030303030303,1011.9060333333333,7303.141414141414,0.0,62.63545454545454,0.0,bright,0
2024-02-16,25.30082474226804,1012.082756701031,4455.453608247422,0.0,60.800000000000004,0.0,bright,2,4,24.666842105263157,1011.9641168421053,4508.831578947368,0.0,58.160947368421056,0.0,bright,0
2024-02-17,25.464891304347827,1010.9312108695652,4188.260869565217,0.0,61.477717391304346,0.0,bright,2,5,25.30082474226804,1012.082756701031,4455.453608247422,0.0,60.800000000000004,0.0,bright,0
2024-02-18,27.022105263157894,1010.1944589473684,6502.0,0.0,60.789263157894744,0.0,bright,2,6,25.464891304347827,1010.9312108695652,4188.260869565217,0.0,61.477717391304346,0.0,bright,0
