date,temp_c,pressure,light_lux,rain_rate,humidity,wind_speed,cloud_info,month,dayofweek,temp_c_lag1,pressure_lag1,light_lux_lag1,rain_rate_lag1,humidity_lag1,wind_speed_lag1,target_cloud,target_y
2025-12-02,28.36791666666667,994.3933760416668,9485.208333333334,0.0,50.415,0.0003125,1,12,0,30.437,992.804454,7407.42,0.0,36.6182,0.001,1,1.0
2025-12-03,28.36791666666667,994.3933760416668,9485.208333333334,0.0,50.415,0.0003125,1,12,0,30.437,992.804454,7407.42,0.0,36.6182,0.001,1,1.0
2025-12-04,28.36791666666667,994.3933760416668,9485.208333333334,0.0,50.415,0.0003125,1,12,0,30.437,992.804454,7407.42,0.0,36.6182,0.001,1,1.0
2025-12-05,28.36791666666667,994.3933760416668,9485.208333333334,0.0,50.415,0.0003125,1,12,0,30.437,992.804454,7407.42,0.0,36.6182,0.001,1,1.0
2025-12-06,28.36791666666667,994.3933760416668,9485.208333333334,0.0,50.415,0.0003125,1,12,0,30.437,992.804454,7407.42,0.0,36.6182,0.001,1,1.0
2025-12-07,28.36791666666667,994.3933760416668,9485.208333333334,0.0,50.415,0.0003125,1,12,0,30.437,992.804454,7407.42,0.0,36.6182,0.001,1,1.0
2025-12-08,28.36791666666667,994.3933760416668,9485.208333333334,0.0,50.415,0.0003125,1,12,0,30.437,992.804454,7407.42,0.0,36.6182,0.001,1,1.0
